[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 5

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 6

[[data]]
texData = "cave_floor_2"
env = "gore_bush_1"

[data.pos]
x = 2
y = 3

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 7

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 2
y = 4

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 8

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 2
y = 5

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 9

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 10

[[data]]
texData = "cave_floor_1"
env = "gore_bush_2"

[data.pos]
x = 2
y = 7

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 11

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 2
y = 8

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 12

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 6

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 3

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 7

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 7
y = 4

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 1

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 5

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 2

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 7
y = 6

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 3

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 7
y = 7

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 4

[[data]]
texData = "cave_floor_2"
env = "gore_bush_1"

[data.pos]
x = 7
y = 8

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 5

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 9

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 6

[[data]]
texData = "cave_floor_1"
env = "gore_bush_2"

[data.pos]
x = 7
y = 10

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 7

[[data]]
texData = "cave_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 11

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 1

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 8
y = 2

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 12
y = 6

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 8
y = 3

[[data]]
texData = "cave_floor_2"
env = "NIL"

[data.pos]
x = 12
y = 7

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 4

[[data]]
