[[data]]
texData = "metal_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 5

[[data]]
texData = "metal_floor_2"
env = "NIL"

[data.pos]
x = 6
y = 6

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 7

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 8

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 9

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 10

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 6
y = 11

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 0

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 1

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 7
y = 2

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 3

[[data]]
texData = "cracked_metal_floor_1"
env = "metal_torch_1"

[data.pos]
x = 7
y = 4

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 5

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 6

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 7

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 8

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 7
y = 9

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 10

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 7
y = 11

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 0

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 1

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 2

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 8
y = 3

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 4

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 5

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 6

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 7

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 8
y = 8

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 9

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 10

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 3

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 8
y = 11

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 4

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 5

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 6

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 7

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 0
y = 8

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 1

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 2

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 3

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 9
y = 4

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 5

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 6

[[data]]
texData = "border_water_1"
env = "NIL"

[data.pos]
x = 9
y = 7

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 8

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 9

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 2

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 9
y = 10

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 3

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 4

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 5

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 6

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 7

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 8

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 1
y = 9

[[data]]
texData = "metal_floor_1"
env = "NIL"

[data.pos]
x = 10
y = 2

[[data]]
texData = "cracked_metal_floor_1"
env = "NIL"

[data.pos]
x = 10
y = 3

[[data]]
texData = "cracked_metal_floor_1"
