[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 2
y = 7

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 2
y = 8

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 2
y = 9

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 2
y = 10

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 2
y = 11

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 2
y = 12

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 11
y = 1

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 2

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 3

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 4

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 5

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 6

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 7

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 8

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 3
y = 1

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 11
y = 9

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 2

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 10

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 3

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 11

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 4

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 11
y = 12

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 11
y = 13

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 5

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 6

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 7

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 8

[[data]]
texData = "cobble_floor_1"
env = "NIL"

[data.pos]
x = 3
y = 9

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 10

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 11

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 3
y = 12

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 3
y = 13

[[data]]
texData = "vit_rock"
env = "NIL"

[data.pos]
x = 12
y = 2

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 12
y = 3

[[data]]
texData = "lava_1"
env = "NIL"

[data.pos]
x = 12
y = 4

[[data]]
